,date,stop_id,am_rush,pm_rush,full_day
572,2018-01-10,place-bmmnl,1755,417,2972
573,2018-01-10,place-bomnl,174,1358,2099
574,2018-01-10,place-boyls,623,2348,4619
575,2018-01-10,place-brdwy,2467,2511,6423
576,2018-01-10,place-brntn,2523,627,4256
577,2018-01-10,place-ccmnl,895,1291,3250
578,2018-01-10,place-chncl,675,2600,5487
579,2018-01-10,place-cntsq,4270,5946,14139
580,2018-01-10,place-coecl,2127,5986,11760
581,2018-01-10,place-crtst,191,1302,2017
582,2018-01-10,place-davis,7570,1886,11425
583,2018-01-10,place-dwnxg,1983,15568,24275
584,2018-01-10,place-fldcr,2129,844,4233
585,2018-01-10,place-forhl,7412,2463,13002
586,2018-01-10,place-gover,674,4315,6618
587,2018-01-10,place-grnst,1529,606,2806
588,2018-01-10,place-haecl,2889,3518,9478
589,2018-01-10,place-harsq,5107,7436,17218
590,2018-01-10,place-hymnl,1297,2917,6061
591,2018-01-10,place-jaksn,2650,1350,5324
592,2018-01-10,place-jfk,2301,2162,5866
593,2018-01-10,place-kencl,1022,2281,4826
594,2018-01-10,place-knncl,1673,11559,16689
595,2018-01-10,place-lech,1857,2325,5620
